recall,precision,predictions,ground_truth,TP,FP,FN,mean_iou_of_tp,std_iou_of_tp,Dataset,img_dir,model,points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,stability_score_offset,box_nms_thresh,crop_n_layers,crop_nms_thresh,crop_n_points_downscale_factor,f_beta,error,settings
0.9745762711864406,0.9426229508196722,122,118,115,7,3,0.9589883685112,0.03081039711833,Exp32,Exp32/39320223018029_low_1152, SAM 1 vit h,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.9680134476130556,,best
0.9473684210526316,0.9264705882352942,136,133,126,10,7,0.9607883095741272,0.0269903242588043,Exp32,Exp32/39320223069021_low_1472, SAM 1 vit h,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.9431137521872428,,best
0.905982905982906,0.7851851851851852,135,117,106,29,11,0.9644516110420228,0.0172858890146017,Exp32,Exp32/39320223122023_low_1152, SAM 1 vit h,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.878938618412911,,best
0.9375,0.7978723404255319,94,80,75,19,5,0.9668793678283693,0.0228077806532382,Exp32,Exp32/39320223138024_low_3136, SAM 1 vit h,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.9057970795117744,,best
0.9743589743589745,0.8837209302325582,129,117,114,15,3,0.965407133102417,0.0163067206740379,Exp32,Exp32/39320223142021_low_256, SAM 1 vit h,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.9547738481730262,,best
0.9558823529411764,0.9420289855072465,138,136,130,8,6,0.9696063995361328,0.0129893161356449,Exp32,Exp32/39320223196024_low_640, SAM 1 vit h,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.953079158710366,,best
0.935064935064935,0.8089887640449438,89,77,72,17,5,0.9695050716400146,0.0188393834978342,Exp32,Exp32/39420224028024_low_1792, SAM 1 vit h,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.9068009858161656,,best
0.9047619047619048,0.8539325842696629,89,84,76,13,8,0.96596497297287,0.0243313964456319,Exp32,Exp32/39420224217022_low_2368, SAM 1 vit h,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.8941176263640142,,best
0.9464285714285714,0.9217391304347826,115,112,106,9,6,0.9705974459648132,0.0144922249019145,Exp32,Exp32/39420224317029_low_2368, SAM 1 vit h,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.941385414851295,,best
0.9098360655737704,0.9173553719008264,121,122,111,10,11,0.9667677283287048,0.0145554542541503,Exp32,Exp32/39420224387022_low_0, SAM 1 vit h,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.911330029359822,,best
0.8898305084745762,0.6521739130434783,161,118,105,56,13,0.9152882099151612,0.0319490544497966,Exp32,Exp32/39320223018029_low_1152,SAM 2.1 small,32,128,0.72,0.92,0.7,0.7,1,0.7,1,0.8293838625492596,,best
0.3759398496240601,0.7246376811594203,69,133,50,19,83,0.894447922706604,0.0368044301867485,Exp32,Exp32/39320223069021_low_1472,SAM 2.1 small,32,128,0.72,0.92,0.7,0.7,1,0.7,1,0.415973365000374,,best
0.7777777777777778,0.6408450704225352,142,117,91,51,26,0.9041317105293274,0.0342329069972038,Exp32,Exp32/39320223122023_low_1152,SAM 2.1 small,32,128,0.72,0.92,0.7,0.7,1,0.7,1,0.7459016170196191,,best
0.7875,0.7411764705882353,85,80,63,22,17,0.8965279459953308,0.0382828041911125,Exp32,Exp32/39320223138024_low_3136,SAM 2.1 small,32,128,0.72,0.92,0.7,0.7,1,0.7,1,0.777777757049231,,best
0.7948717948717948,0.6739130434782609,138,117,93,45,24,0.9041740894317628,0.041211262345314,Exp32,Exp32/39320223142021_low_256,SAM 2.1 small,32,128,0.72,0.92,0.7,0.7,1,0.7,1,0.7673267106901291,,best
0.8676470588235294,0.686046511627907,172,136,118,54,18,0.9167250394821168,0.0301787611097097,Exp32,Exp32/39320223196024_low_640,SAM 2.1 small,32,128,0.72,0.92,0.7,0.7,1,0.7,1,0.8240223235541968,,best
0.8441558441558441,0.6842105263157895,95,77,65,30,12,0.8978568315505981,0.0391282513737678,Exp32,Exp32/39420224028024_low_1792,SAM 2.1 small,32,128,0.72,0.92,0.7,0.7,1,0.7,1,0.8064515903829228,,best
0.7023809523809523,0.6145833333333334,96,84,59,37,25,0.890411376953125,0.0355224534869194,Exp32,Exp32/39420224217022_low_2368,SAM 2.1 small,32,128,0.72,0.92,0.7,0.7,1,0.7,1,0.6828703487654328,,best
