user_id,age,gender,skill,path,ear_id,ear_view_pos,method,first_img,total_time,sam1_proposed_am,sam2_proposed_am,sam1_interactive_am,sam2_interactive_am,polygon_drawing_am,sam2_tracking_am,panorama_tracking_am,total_masks_am,sam1_proposed_sm,sam2_proposed_sm,sam1_interactive_sm,sam2_interactive_sm,poly_n,sam2_tracking_sm,panorama_tracking_sm,total_masks_sm,track_n,amg_n,inter_n,ds_per_mask,user_img,method_imgpos,method_imgpos_ear,ear_img,track_time,amg_time,inter_time,poly_time,ds_per_mask_track,ds_per_mask_amg,ds_per_mask_inter,ds_per_mask_poly
0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223493024_low_192_annots_structured_sam1,39320223493024,192,sam1,False,3362,120,0,3,0,0,0,68,191,50,0,3,0,0,0,40,93,40,50,3,36.1505376344086,0_39320223493024,sam1_2,sam1_2_39320223493024,39320223493024_192,1341.0,1235.0,786.0,,33.525,24.7,262.0,
0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223493024_low_192_annots_structured_sam2,39320223493024,192,sam2,False,748,0,129,0,0,0,85,0,214,0,4,0,0,0,84,0,88,84,4,0,8.5,0_39320223493024,sam2_2,sam2_2_39320223493024,39320223493024_192,709.0,39.0,,,8.440476,9.75,,
0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223493024_low_256_annots_structured_sam1,39320223493024,256,sam1,True,3609,123,0,8,0,2,0,0,133,80,0,8,0,2,0,0,90,0,80,8,40.1,0_39320223493024,sam1_1,sam1_1_39320223493024,39320223493024_256,,2378.0,488.0,,,29.725,61.0,
0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223493024_low_256_annots_structured_sam2,39320223493024,256,sam2,True,3562,0,135,0,7,3,0,0,145,0,84,0,6,2,0,0,92,0,84,6,38.71739130434783,0_39320223493024,sam2_1,sam2_1_39320223493024,39320223493024_256,,1925.0,1020.0,,,22.916666,170.0,
0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223493024_low_256_annots_structured_sam2_indicated_annots_polygon,39320223493024,256,polygon,True,288,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,96.0,0_39320223493024,polygon_1,polygon_1_39320223493024,39320223493024_256,,,,,,,,
0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223525022_low_2688_annots_structured_sam1,39320223525022,2688,sam1,False,4287,97,0,12,0,2,0,63,174,23,0,11,0,2,0,35,71,35,23,11,60.38028169014085,0_39320223525022,sam1_2,sam1_2_39320223525022,39320223525022_2688,1014.0,999.0,1399.0,,28.971428,43.434784,127.181816,
0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223525022_low_2688_annots_structured_sam2,39320223525022,2688,sam2,False,732,0,108,0,2,0,63,0,173,0,5,0,2,0,61,0,68,61,5,2,10.764705882352942,0_39320223525022,sam2_2,sam2_2_39320223525022,39320223525022_2688,369.0,96.0,,,6.0491805,19.2,,
0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223525022_low_2752_annots_structured_sam1,39320223525022,2752,sam1,True,2489,95,0,1,0,0,0,0,96,63,0,1,0,0,0,0,64,0,63,1,38.890625,0_39320223525022,sam1_1,sam1_1_39320223525022,39320223525022_2752,,2489.0,,,,39.50794,,
0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223525022_low_2752_annots_structured_sam2,39320223525022,2752,sam2,True,1873,0,109,0,5,0,0,0,114,0,62,0,5,0,0,0,67,0,62,5,27.955223880597014,0_39320223525022,sam2_1,sam2_1_39320223525022,39320223525022_2752,,1118.0,755.0,,,18.032259,151.0,
0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223525022_low_2752_annots_structured_sam2_indicated_annots_polygon,39320223525022,2752,polygon,True,255,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,85.0,0_39320223525022,polygon_1,polygon_1_39320223525022,39320223525022_2752,,,,,,,,
