,user_id,age,gender,skill,path,ear_id,ear_view_pos,method,first_img,total_time,sam1_proposed_am,sam2_proposed_am,sam1_interactive_am,sam2_interactive_am,polygon_drawing_am,sam2_tracking_am,panorama_tracking_am,total_masks_am,sam1_proposed_sm,sam2_proposed_sm,sam1_interactive_sm,sam2_interactive_sm,poly_n,sam2_tracking_sm,panorama_tracking_sm,total_masks_sm,track_n,amg_n,inter_n,ds_per_mask,user_img,method_imgpos,method_imgpos_ear,ear_img,track_time,amg_time,inter_time,poly_time,ds_per_mask_track,ds_per_mask_amg,ds_per_mask_inter
0,0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223493024_low_192_annots_structured_sam1,39320223493024,192,sam1,False,3362,120,0,3,0,0,0,68,191,50,0,3,0,0,0,40,93,40,50,3,36.1505376344086,0_39320223493024,sam1_2,sam1_2_39320223493024,39320223493024_192,,,,3362.0,,,
7,0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223525022_low_2752_annots_structured_sam1,39320223525022,2752,sam1,True,2489,95,0,1,0,0,0,0,96,63,0,1,0,0,0,0,64,0,63,1,38.890625,0_39320223525022,sam1_1,sam1_1_39320223525022,39320223525022_2752,,,,3609.0,,,
8,0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39320223525022_low_2752_annots_structured_sam2,39320223525022,2752,sam2,True,1873,0,109,0,5,0,0,0,114,0,62,0,5,0,0,0,67,0,62,5,27.955223880597014,0_39320223525022,sam2_1,sam2_1_39320223525022,39320223525022_2752,,,,1000.0,,,
12,0,26,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_0\39420224413028_low_1920_annots_structured_sam1,39420224413028,1920,sam1,True,1712,154,0,1,0,0,0,0,155,123,0,1,0,0,0,0,124,0,123,1,13.806451612903226,0_39420224413028,sam1_1,sam1_1_39420224413028,39420224413028_1920,,,,3609.0,,,
16,1,30,Male,10,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_1\39320223493024_low_192_annots_structured_sam2,39320223493024,192,sam2,False,1,0,129,0,0,0,90,0,219,0,0,0,0,0,90,0,90,90,0,0,0.011111111111111112,1_39320223493024,sam2_2,sam2_2_39320223493024,39320223493024_192,,,,1.0,,,
17,1,30,Male,10,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_1\39320223493024_low_256_annots_structured_sam1,39320223493024,256,sam1,True,904,123,0,0,0,0,0,0,123,90,0,0,0,0,0,0,90,0,90,0,10.044444444444444,1_39320223493024,sam1_1,sam1_1_39320223493024,39320223493024_256,,,,904.0,,,
21,1,30,Male,10,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_1\39320223525022_low_2688_annots_structured_sam2,39320223525022,2688,sam2,False,1,0,108,0,0,0,68,0,176,0,0,0,0,0,68,0,68,68,0,0,0.014705882352941176,1_39320223525022,sam2_2,sam2_2_39320223525022,39320223525022_2688,,,,1.0,,,
27,1,30,Male,10,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_1\39420224413028_low_1920_annots_structured_sam1,39420224413028,1920,sam1,True,908,154,0,0,0,0,0,0,154,124,0,0,0,0,0,0,124,0,124,0,7.32258064516129,1_39420224413028,sam1_1,sam1_1_39420224413028,39420224413028_1920,,,,904.0,,,
31,10,34,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_10\39320223493024_low_192_annots_structured_sam2,39320223493024,192,sam2,False,2342,0,129,0,2,0,93,0,224,0,4,0,2,0,92,0,98,92,4,2,23.897959183673468,10_39320223493024,sam2_2,sam2_2_39320223493024,39320223493024_192,,,,1.0,,,
36,10,34,Male,7,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_10\39320223525022_low_2688_annots_structured_sam2,39320223525022,2688,sam2,False,3099,0,108,0,6,0,68,0,182,0,3,0,6,0,66,0,75,66,3,6,41.32,10_39320223525022,sam2_2,sam2_2_39320223525022,39320223525022_2688,,,,1.0,,,
