recall,precision,predictions,ground_truth,TP,FP,FN,mean_iou_of_tp,std_iou_of_tp,Dataset,img_dir,model,points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,stability_score_offset,box_nms_thresh,crop_n_layers,crop_nms_thresh,crop_n_points_downscale_factor,f_beta
0.9745762711864406,0.9426229508196722,122,118,115,7,3,0.9589883685112,0.03081039711833,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.9680134476130557
0.9473684210526316,0.9264705882352942,136,133,126,10,7,0.9607883095741272,0.0269903242588043,Exp32,Exp32/39320223069021_low_1472,sam_vit_h_4b8939.pth,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.9431137521872427
0.905982905982906,0.7851851851851852,135,117,106,29,11,0.9644516110420228,0.0172858890146017,Exp32,Exp32/39320223122023_low_1152,sam_vit_h_4b8939.pth,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.878938618412911
0.9375,0.7978723404255319,94,80,75,19,5,0.9668793678283693,0.0228077806532382,Exp32,Exp32/39320223138024_low_3136,sam_vit_h_4b8939.pth,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.9057970795117745
0.9743589743589745,0.8837209302325582,129,117,114,15,3,0.965407133102417,0.0163067206740379,Exp32,Exp32/39320223142021_low_256,sam_vit_h_4b8939.pth,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.9547738481730262
0.9558823529411764,0.9420289855072465,138,136,130,8,6,0.9696063995361328,0.0129893161356449,Exp32,Exp32/39320223196024_low_640,sam_vit_h_4b8939.pth,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.9530791587103659
0.935064935064935,0.8089887640449438,89,77,72,17,5,0.9695050716400146,0.0188393834978342,Exp32,Exp32/39420224028024_low_1792,sam_vit_h_4b8939.pth,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.9068009858161656
0.9047619047619048,0.8539325842696629,89,84,76,13,8,0.96596497297287,0.0243313964456319,Exp32,Exp32/39420224217022_low_2368,sam_vit_h_4b8939.pth,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.8941176263640142
0.9464285714285714,0.9217391304347826,115,112,106,9,6,0.9705974459648132,0.0144922249019145,Exp32,Exp32/39420224317029_low_2368,sam_vit_h_4b8939.pth,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.941385414851295
0.9098360655737704,0.9173553719008264,121,122,111,10,11,0.9667677283287048,0.0145554542541503,Exp32,Exp32/39420224387022_low_0,sam_vit_h_4b8939.pth,128,128,0.8,0.98,1.0,0.7,0,0.7,1,0.9113300293598219
