points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,stability_score_offset,box_nms_thresh,crop_n_layers,crop_nms_thresh,crop_n_points_downscale_factor,recall,precision,predictions,ground_truth,TP,FP,FN,mean_iou_of_tp,std_iou_of_tp,f_beta
32,128,0.72,0.92,0.7,0.7,0,0.7,1,0.5755431622526358,0.7094697034755658,86.6,109.6,60.7,25.9,48.9,0.8853527307510376,0.03519552163779732,0.5864773331922161
32,128,0.72,0.92,0.7,0.7,0,0.7,2,0.5755431622526358,0.7094697034755658,86.6,109.6,60.7,25.9,48.9,0.8853527307510376,0.03519552163779732,0.5864773331922161
32,128,0.72,0.92,0.7,0.7,0,0.7,4,0.5755431622526358,0.7094697034755658,86.6,109.6,60.7,25.9,48.9,0.8853527307510376,0.03519552163779732,0.5864773331922161
32,128,0.72,0.92,0.7,0.7,1,0.7,1,0.7573183411401275,0.6832309943667794,121.3,109.6,82.3,39.0,27.3,0.9027384221553802,0.03615004923194644,0.7353072380661538
32,128,0.72,0.92,0.7,0.7,1,0.7,2,0.6998892745737576,0.7142867134644277,106.5,109.6,75.5,31.0,34.1,0.9038114368915557,0.034583219885826064,0.6947753175868344
32,128,0.72,0.92,0.7,0.7,1,0.7,4,0.6366558057676656,0.7215006400374115,95.3,109.6,68.1,27.2,41.5,0.8957775473594666,0.037515352293848954,0.6435641982698839
32,128,0.72,0.92,0.7,0.7,2,0.7,1,0.7583440884362741,0.641640491660471,130.4,109.6,82.5,47.9,27.1,0.9025040388107299,0.0354885127395391,0.7242211586220029
32,128,0.72,0.92,0.7,0.7,2,0.7,2,0.7067276363647916,0.7011479959085866,109.7,109.6,76.2,33.5,33.4,0.9046804666519165,0.03429499305784698,0.6974517652132064
32,128,0.72,0.92,0.7,0.7,2,0.7,4,0.6400766593970535,0.7180684496507611,96.4,109.6,68.5,27.9,41.1,0.8963725328445434,0.03744951188564295,0.6457956229691357
32,128,0.72,0.92,1.0,0.7,0,0.7,1,0.33989213493969395,0.755528775245683,46.4,109.6,35.7,10.7,73.9,0.8967213153839111,0.03160586096346374,0.37395534329513314
